id,title,body,department,sentiment
0,La esperienza,"Purtroppo, la camera era sporca.",Housekeeping,neg
1,Servizio esperienza,"Purtroppo, servizio ristorante lento e personale scortese.",F&B,neg
2,Bagno esperienza,"Nel complesso, bagno impeccabile e ordinato.",Housekeeping,pos
3,Staff esperienza,"La mia esperienza, staff molto gentile.",Reception,pos
4,Colazione esperienza,"La mia esperienza, colazione ottima e varia.",F&B,pos
5,Cibo esperienza,"Durante il soggiorno, cibo freddo.",F&B,neg
6,Personale esperienza,"La mia esperienza, personale disponibile e professionale.",Reception,pos
7,Check-in esperienza,"Devo dire che, check-in veloce e senza problemi.",Reception,pos
8,Colazione esperienza,"Devo dire che, colazione ottima e varia.",F&B,pos
9,Buffet esperienza,"Devo dire che, buffet abbondante.",F&B,pos
10,Poca esperienza,"Nel complesso, poca disponibilità alla reception.",Reception,neg
11,Odore esperienza,"Nel complesso, odore sgradevole in bagno e polvere ovunque nella stanza.",Housekeeping,neg
12,Staff esperienza,"La mia esperienza, staff molto gentile e check-in veloce e senza problemi.",Reception,pos
13,Colazione esperienza,"La mia esperienza, colazione ottima e varia.",F&B,pos
14,Odore esperienza,"La mia esperienza, odore sgradevole in bagno.",Housekeeping,neg
15,Check-in esperienza,"Devo dire che, check-in veloce e senza problemi e lenzuola fresche e profumate.",Reception,pos
16,Personale esperienza,"Devo dire che, personale disponibile e professionale.",Reception,pos
17,Check-in esperienza,"Nel complesso, check-in molto lento.",Reception,neg
18,Personale esperienza,"Devo dire che, personale disponibile e professionale.",Reception,pos
19,Personale esperienza,"Devo dire che, personale scortese.",Reception,neg
20,Check-in esperienza,"Devo dire che, check-in molto lento.",Reception,neg
21,Poca esperienza,"La mia esperienza, poca disponibilità alla reception.",Reception,neg
22,Cibo esperienza,"La mia esperienza, cibo freddo.",F&B,neg
23,Cibo esperienza,"Devo dire che, cibo davvero buono.",F&B,pos
24,Personale esperienza,"Durante il soggiorno, personale disponibile e professionale.",Reception,pos
25,Poca esperienza,"La mia esperienza, poca disponibilità alla reception e la camera era sporca.",Reception,neg
26,Staff esperienza,"Devo dire che, staff molto gentile e personale disponibile e professionale.",Reception,pos
27,Colazione esperienza,"La mia esperienza, colazione ottima e varia.",F&B,pos
28,Check-in esperienza,"Durante il soggiorno, check-in veloce e senza problemi e staff molto gentile.",Reception,pos
29,Colazione esperienza,"Durante il soggiorno, colazione scarsa.",F&B,neg
30,Personale esperienza,"Purtroppo, personale scortese.",Reception,neg
31,Check-in esperienza,"Durante il soggiorno, check-in molto lento e colazione scarsa.",Reception,neg
32,Staff esperienza,"Devo dire che, staff molto gentile.",Reception,pos
33,Staff esperienza,"Nel complesso, staff molto gentile.",Reception,pos
34,Cibo esperienza,"Durante il soggiorno, cibo freddo.",F&B,neg
35,Polvere esperienza,"Purtroppo, polvere ovunque nella stanza.",Housekeeping,neg
36,La esperienza,"Durante il soggiorno, la camera era sporca.",Housekeeping,neg
37,Staff esperienza,"La mia esperienza, staff molto gentile.",Reception,pos
38,Personale esperienza,"La mia esperienza, personale disponibile e professionale.",Reception,pos
39,La esperienza,"Durante il soggiorno, la camera era sporca.",Housekeeping,neg
40,Odore esperienza,"Durante il soggiorno, odore sgradevole in bagno e odore sgradevole in bagno.",Housekeeping,neg
41,Personale esperienza,"Nel complesso, personale scortese.",Reception,neg
42,Staff esperienza,"Devo dire che, staff molto gentile e lenzuola fresche e profumate.",Reception,pos
43,Cibo esperienza,"Devo dire che, cibo davvero buono.",F&B,pos
44,Buffet esperienza,"Nel complesso, buffet abbondante.",F&B,pos
45,Bagno esperienza,"Purtroppo, bagno impeccabile e ordinato.",Housekeeping,pos
46,Personale esperienza,"Purtroppo, personale scortese.",Reception,neg
47,Personale esperienza,"Purtroppo, personale scortese.",Reception,neg
48,Colazione esperienza,"La mia esperienza, colazione scarsa.",F&B,neg
49,Polvere esperienza,"Devo dire che, polvere ovunque nella stanza.",Housekeeping,neg
50,La esperienza,"La mia esperienza, la camera era molto pulita e check-in veloce e senza problemi.",Housekeeping,pos
51,Check-in esperienza,"Devo dire che, check-in molto lento.",Reception,neg
52,Check-in esperienza,"Purtroppo, check-in molto lento.",Reception,neg
53,Polvere esperienza,"Purtroppo, polvere ovunque nella stanza.",Housekeeping,neg
54,Buffet esperienza,"Durante il soggiorno, buffet abbondante.",F&B,pos
55,Polvere esperienza,"Devo dire che, polvere ovunque nella stanza.",Housekeeping,neg
56,Personale esperienza,"Nel complesso, personale scortese e colazione scarsa.",Reception,neg
57,La esperienza,"Nel complesso, la camera era molto pulita.",Housekeeping,pos
58,Cibo esperienza,"Purtroppo, cibo freddo.",F&B,neg
59,Cibo esperienza,"Durante il soggiorno, cibo freddo e polvere ovunque nella stanza.",F&B,neg
60,Cibo esperienza,"La mia esperienza, cibo freddo.",F&B,neg
61,Check-in esperienza,"Purtroppo, check-in molto lento.",Reception,neg
62,La esperienza,"Devo dire che, la camera era molto pulita.",Housekeeping,pos
63,La esperienza,"Durante il soggiorno, la camera era molto pulita.",Housekeeping,pos
64,Personale esperienza,"La mia esperienza, personale disponibile e professionale.",Reception,pos
65,La esperienza,"Purtroppo, la camera era molto pulita.",Housekeeping,pos
66,La esperienza,"Purtroppo, la camera era sporca.",Housekeeping,neg
67,La esperienza,"Nel complesso, la camera era sporca.",Housekeeping,neg
68,Servizio esperienza,"Devo dire che, servizio ristorante lento e colazione scarsa.",F&B,neg
69,Polvere esperienza,"Purtroppo, polvere ovunque nella stanza.",Housekeeping,neg
70,Polvere esperienza,"Purtroppo, polvere ovunque nella stanza.",Housekeeping,neg
71,La esperienza,"Nel complesso, la camera era molto pulita.",Housekeeping,pos
72,Poca esperienza,"Nel complesso, poca disponibilità alla reception.",Reception,neg
73,Colazione esperienza,"La mia esperienza, colazione scarsa.",F&B,neg
74,Personale esperienza,"Purtroppo, personale disponibile e professionale.",Reception,pos
75,Colazione esperienza,"La mia esperienza, colazione scarsa.",F&B,neg
76,Cibo esperienza,"La mia esperienza, cibo davvero buono.",F&B,pos
77,Personale esperienza,"Durante il soggiorno, personale disponibile e professionale e la camera era molto pulita.",Reception,pos
78,Staff esperienza,"Devo dire che, staff molto gentile e buffet abbondante.",Reception,pos
79,Bagno esperienza,"Purtroppo, bagno impeccabile e ordinato.",Housekeeping,pos
80,Colazione esperienza,"La mia esperienza, colazione scarsa.",F&B,neg
81,Servizio esperienza,"Purtroppo, servizio ristorante lento.",F&B,neg
82,Colazione esperienza,"Nel complesso, colazione scarsa.",F&B,neg
83,Check-in esperienza,"La mia esperienza, check-in veloce e senza problemi.",Reception,pos
84,La esperienza,"Nel complesso, la camera era molto pulita.",Housekeeping,pos
85,Bagno esperienza,"La mia esperienza, bagno impeccabile e ordinato.",Housekeeping,pos
86,Buffet esperienza,"Durante il soggiorno, buffet abbondante e la camera era molto pulita.",F&B,pos
87,Odore esperienza,"La mia esperienza, odore sgradevole in bagno.",Housekeeping,neg
88,Polvere esperienza,"Nel complesso, polvere ovunque nella stanza.",Housekeeping,neg
89,La esperienza,"Durante il soggiorno, la camera era sporca.",Housekeeping,neg
90,Poca esperienza,"Nel complesso, poca disponibilità alla reception.",Reception,neg
91,Check-in esperienza,"Nel complesso, check-in molto lento.",Reception,neg
92,Check-in esperienza,"Purtroppo, check-in molto lento.",Reception,neg
93,Colazione esperienza,"Devo dire che, colazione ottima e varia.",F&B,pos
94,Cibo esperienza,"Durante il soggiorno, cibo freddo.",F&B,neg
95,Check-in esperienza,"Nel complesso, check-in veloce e senza problemi e bagno impeccabile e ordinato.",Reception,pos
96,Check-in esperienza,"Devo dire che, check-in veloce e senza problemi.",Reception,pos
97,Servizio esperienza,"Devo dire che, servizio ristorante lento.",F&B,neg
98,Lenzuola esperienza,"Purtroppo, lenzuola fresche e profumate.",Housekeeping,pos
99,Check-in esperienza,"Purtroppo, check-in molto lento.",Reception,neg
100,Servizio esperienza,"Nel complesso, servizio ristorante lento.",F&B,neg
101,Odore esperienza,"Purtroppo, odore sgradevole in bagno.",Housekeeping,neg
102,Lenzuola esperienza,"Durante il soggiorno, lenzuola fresche e profumate e bagno impeccabile e ordinato.",Housekeeping,pos
103,Staff esperienza,"La mia esperienza, staff molto gentile.",Reception,pos
104,Polvere esperienza,"La mia esperienza, polvere ovunque nella stanza.",Housekeeping,neg
105,Check-in esperienza,"Purtroppo, check-in molto lento.",Reception,neg
106,Check-in esperienza,"Devo dire che, check-in veloce e senza problemi.",Reception,pos
107,Personale esperienza,"Purtroppo, personale scortese.",Reception,neg
108,Colazione esperienza,"Purtroppo, colazione scarsa.",F&B,neg
109,Servizio esperienza,"Devo dire che, servizio ristorante lento.",F&B,neg
110,Poca esperienza,"Purtroppo, poca disponibilità alla reception.",Reception,neg
111,Personale esperienza,"Purtroppo, personale scortese.",Reception,neg
112,Colazione esperienza,"La mia esperienza, colazione scarsa.",F&B,neg
113,Polvere esperienza,"Durante il soggiorno, polvere ovunque nella stanza.",Housekeeping,neg
114,Check-in esperienza,"Devo dire che, check-in veloce e senza problemi e la camera era molto pulita.",Reception,pos
115,Cibo esperienza,"Durante il soggiorno, cibo davvero buono e check-in veloce e senza problemi.",F&B,pos
116,Poca esperienza,"Devo dire che, poca disponibilità alla reception.",Reception,neg
117,Buffet esperienza,"Devo dire che, buffet abbondante e buffet abbondante.",F&B,pos
118,Bagno esperienza,"Purtroppo, bagno impeccabile e ordinato.",Housekeeping,pos
119,La esperienza,"Durante il soggiorno, la camera era molto pulita.",Housekeeping,pos
120,La esperienza,"Nel complesso, la camera era molto pulita.",Housekeeping,pos
121,Odore esperienza,"Purtroppo, odore sgradevole in bagno.",Housekeeping,neg
122,Cibo esperienza,"Durante il soggiorno, cibo davvero buono.",F&B,pos
123,Polvere esperienza,"Durante il soggiorno, polvere ovunque nella stanza.",Housekeeping,neg
124,Buffet esperienza,"Nel complesso, buffet abbondante e personale disponibile e professionale.",F&B,pos
125,Bagno esperienza,"Devo dire che, bagno impeccabile e ordinato.",Housekeeping,pos
126,Cibo esperienza,"La mia esperienza, cibo freddo.",F&B,neg
127,Odore esperienza,"Purtroppo, odore sgradevole in bagno.",Housekeeping,neg
128,Bagno esperienza,"Nel complesso, bagno impeccabile e ordinato.",Housekeeping,pos
129,La esperienza,"Nel complesso, la camera era sporca.",Housekeeping,neg
130,Bagno esperienza,"Nel complesso, bagno impeccabile e ordinato.",Housekeeping,pos
131,Polvere esperienza,"Devo dire che, polvere ovunque nella stanza.",Housekeeping,neg
132,Staff esperienza,"Durante il soggiorno, staff molto gentile.",Reception,pos
133,Servizio esperienza,"Devo dire che, servizio ristorante lento.",F&B,neg
134,Polvere esperienza,"Durante il soggiorno, polvere ovunque nella stanza.",Housekeeping,neg
135,Colazione esperienza,"Durante il soggiorno, colazione scarsa e personale scortese.",F&B,neg
136,Personale esperienza,"Purtroppo, personale disponibile e professionale.",Reception,pos
137,Polvere esperienza,"Devo dire che, polvere ovunque nella stanza.",Housekeeping,neg
138,Odore esperienza,"Durante il soggiorno, odore sgradevole in bagno.",Housekeeping,neg
139,Polvere esperienza,"Nel complesso, polvere ovunque nella stanza e la camera era sporca.",Housekeeping,neg
140,La esperienza,"Durante il soggiorno, la camera era sporca.",Housekeeping,neg
141,Servizio esperienza,"Durante il soggiorno, servizio ristorante lento.",F&B,neg
142,Colazione esperienza,"La mia esperienza, colazione scarsa.",F&B,neg
